Name,UnitPrice,Revenus
Cuyahoga,0.99,3.96
De Ouro E Marfim (Live),0.99,3.96
Dead Horse,0.99,3.96
Disarm,0.99,3.96
Do You Feel Loved,0.99,3.96
Do You Love Me,0.99,3.96
Don't Damn Me,0.99,3.96
Double Talkin' Jive,0.99,3.96
Drowning Man,0.99,3.96
Electrolite,0.99,3.96
Elza,0.99,3.96
Everything's Ruined,0.99,3.96
Evil Walks,0.99,3.96
F**k Me Pumps,0.99,3.96
Faceless,0.99,3.96
Fat Bottomed Girls,0.99,3.96
Fates Warning,0.99,3.96
First Time I Met The Blues,0.99,3.96
Flor De Lis,0.99,3.96
Fortunate Son,0.99,3.96
Fortunes Of War,0.99,3.96
Geek Stink Breath,0.99,3.96
Gostava Tanto De Você,0.99,3.96
Gota D'água,0.99,3.96
Headlong,0.99,3.96
Heartland,0.99,3.96
Hey Hey,0.99,3.96
I Don't Know,0.99,3.96
I Feel Good (I Got You) - Sossego,0.99,3.96
If God Will Send His Angels,0.99,3.96
Innuendo,0.99,3.96
Intro / Stronger Than Me,0.99,3.96
It's Late,0.99,3.96
It's So Easy,0.99,3.96
It's a Mistake,0.99,3.96
KKK Bitch,0.99,3.96
King Nothing,0.99,3.96
Last Night On Earth,0.99,3.96
Lodi,0.99,3.96
Longview,0.99,3.96
Lost in Hollywood,0.99,3.96
Madalena,0.99,3.96
Make Me Believe,0.99,3.96
Moby Dick,0.99,3.96
Momentos Que Marcam,0.99,3.96
Mãe Terra,0.99,3.96
Nem Um Dia,0.99,3.96
No More Tears,0.99,3.96
Não Vou Lutar,0.99,3.96
O Amor Nao Sabe Esperar,0.99,3.96
Odara,0.99,3.96
Opachorô (Live),0.99,3.96
Out Ta Get Me,0.99,3.96
Outshined,0.99,3.96
Overtime,0.99,3.96
Padre Cícero,0.99,3.96
Pagan Baby,0.99,3.96
Palavras,0.99,3.96
"Partita in E Major, BWV 1006A: I. Prelude",0.99,3.96
Poor Tom,0.99,3.96
Pot-Pourri N.º 2,0.99,3.96
Pristina,0.99,3.96
Put The Finger On You,0.99,3.96
RV,0.99,3.96
Radio/Video,0.99,3.96
Rhinocerous,0.99,3.96
Riviera Paradise,0.99,3.96
Romeo et Juliette: No. 11 - Danse des Chevaliers,0.99,3.96
Sad Statue,0.99,3.96
Santo Antonio,0.99,3.96
Save Me,0.99,3.96
Scratch-N-Sniff,0.99,3.96
Sea of Madness,0.99,3.96
Seventh Son of a Seventh Son,0.99,3.96
Shiny Happy People,0.99,3.96
Shout It Out Loud,0.99,3.96
Sincero Breu,0.99,3.96
Sing Joyfully,0.99,3.96
"So Fast, So Numb",0.99,3.96
Some Unholy War,0.99,3.96
Sozinho,0.99,3.96
Spoonman,0.99,3.96
Squeeze Box,0.99,3.96
Stone Crazy,0.99,3.96
Strutter,0.99,3.96
Sítio Do Pica-Pau Amarelo,0.99,3.96
The Alchemist,0.99,3.96
The Finest Worksong,0.99,3.96
The Memory Remains,0.99,3.96
Trocando Em Miúdos,0.99,3.96
Tyrant (Live),0.99,3.96
Uma Brasileira,0.99,3.96
Up An' Atom,0.99,3.96
Wake Me Up When September Ends,0.99,3.96
Walk To The Water,0.99,3.96
Walkin' Blues,0.99,3.96
"Wellington's Victory or the Battle Symphony, Op.91: 2. Symphony of Triumph",0.99,3.96
Whatever Gets You Thru the Night,0.99,3.96
Who'll Stop The Rain,0.99,3.96
Won't Get Fooled Again (Full Length Version),0.99,3.96
You Know I'm No Good (feat. Ghostface Killah),0.99,3.96
Zooropa,0.99,3.96
Through a Looking Glass,1.99,2.98
Baltar's Escape,1.99,1.99
(Anesthesia) Pulling Teeth,0.99,1.98
A Banda,0.99,1.98
A Man And A Woman,0.99,1.98
Abrir A Porta,0.99,1.98
Adios nonino,0.99,1.98
All Because Of You,0.99,1.98
"All Dead, All Dead",0.99,1.98
Angel Of Harlem,0.99,1.98
Another One Bites The Dust,0.99,1.98
Are We The Waiting,0.99,1.98
As We Sleep,0.99,1.98
Atras Da Porta,0.99,1.98
Back to Black,0.99,1.98
Bad Obsession,0.99,1.98
Black Mountain Side,0.99,1.98
Blissed & Gone,0.99,1.98
Body Count's In The House,0.99,1.98
Boulevard Of Broken Dreams,0.99,1.98
Canto De Ossanha,0.99,1.98
Casa no Campo,0.99,1.98
"Concerto No.2 in F Major, BWV1047, I. Allegro",0.99,1.98
"Concerto for Piano No. 2 in F Minor, Op. 21: II. Larghetto",0.99,1.98
Crackerman,0.99,1.98
Crossfire,0.99,1.98
D'Yer Mak'er,0.99,1.98
Damage Inc.,0.99,1.98
Deuce,0.99,1.98
Diamonds And Rust (Live),0.99,1.98
Down Under,0.99,1.98
Duelists,0.99,1.98
Dust N' Bones,0.99,1.98
Eclipse Oculto,0.99,1.98
Eu Vim Da Bahia - Live,0.99,1.98
Expresso 2222,0.99,1.98
Extraordinary Girl,0.99,1.98
Família,0.99,1.98
Fantasia On Greensleeves,0.99,1.98
Fight From The Inside,0.99,1.98
Fool In The Rain,0.99,1.98
Formosa,0.99,1.98
Freedom For My People,0.99,1.98
Freewheel Burning,0.99,1.98
Garota de Ipanema (Dick Farney),0.99,1.98
Gates Of Urizen,0.99,1.98
Get On The Snake,0.99,1.98
Happy Jack,0.99,1.98
Heartbreaker,0.99,1.98
Heliopolis,0.99,1.98
Hemp Family,0.99,1.98
How High The Moon,0.99,1.98
How The West Was Won And Where It Got Us,0.99,1.98
I Still Haven't Found What I'm Looking for,0.99,1.98
I Want It All,0.99,1.98
Invaders,0.99,1.98
It Doesn't Matter,0.99,1.98
Jump In The Fire,0.99,1.98
"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",0.99,1.98
Killing Floor,0.99,1.98
Knockin On Heavens Door,0.99,1.98
La Bella Luna,0.99,1.98
Laguna Sunrise,0.99,1.98
Leave,0.99,1.98
Let Me Off Uptown,0.99,1.98
Lilás,0.99,1.98
Linha Do Horizonte,0.99,1.98
Live and Let Die,0.99,1.98
Lord Of The Flies,0.99,1.98
Losfer Words,0.99,1.98
Loud Love,0.99,1.98
Love Gun,0.99,1.98
Love Rescue Me,0.99,1.98
Magic Bus,0.99,1.98
Maria,0.99,1.98
Me & Mr. Jones,0.99,1.98
Me Deixas Louca,0.99,1.98
Me Liga,0.99,1.98
Metal Meltdown,0.99,1.98
Minha Namorada,0.99,1.98
Mouth To Mouth,0.99,1.98
Nem 5 Minutos Guardados,0.99,1.98
New York,0.99,1.98
No Prayer For The Dying,0.99,1.98
Nothing To Say,0.99,1.98
O Braço Da Minha Guitarra,0.99,1.98
Of Wolf And Man,0.99,1.98
One Step Closer,0.99,1.98
Opus No.1,0.99,1.98
Palco,0.99,1.98
Parabolicamará,0.99,1.98
Paths Of Glory,0.99,1.98
Pela Internet (Live),0.99,1.98
Perfect Circle,0.99,1.98
Pictures Of Lily,0.99,1.98
Poeira,0.99,1.98
Praise,0.99,1.98
Pretty Persuasion,0.99,1.98
"Prometheus Overture, Op. 43",0.99,1.98
Protesto Do Olodum (Ao Vivo),0.99,1.98
Proud Mary,0.99,1.98
Prá Dizer Adeus,0.99,1.98
Quanta (Live),0.99,1.98
Quase Um Segundo,0.99,1.98
Quem Mata A Mulher Mata O Melhor,0.99,1.98
Radio Free Aurope,0.99,1.98
Refavela (Live),0.99,1.98
Reggae Odoyá,0.99,1.98
Restless and Wild,0.99,1.98
Revenga,0.99,1.98
Rock On,0.99,1.98
Romaria,0.99,1.98
Run to the Hills,0.99,1.98
Réu Confesso,0.99,1.98
SKA,0.99,1.98
Salve Nossa Senhora,0.99,1.98
Samba Da Volta,0.99,1.98
Sampa,0.99,1.98
Saudosa Maloca,0.99,1.98
Saudosismo,0.99,1.98
Se Liga,0.99,1.98
Se...,0.99,1.98
Seek & Destroy,0.99,1.98
Sheer Heart Attack,0.99,1.98
Signe,0.99,1.98
Sleep On The Sidewalk,0.99,1.98
Sonata for Solo Violin: IV: Presto,0.99,1.98
"Suzie-Q, Pt. 2",0.99,1.98
Tailgunner,0.99,1.98
Tatuagem,0.99,1.98
Tears Dry On Their Own,0.99,1.98
Terra,0.99,1.98
The God That Failed,0.99,1.98
The More I See,0.99,1.98
The River (Remix),0.99,1.98
The Seeker,0.99,1.98
The Small Hours,0.99,1.98
The Struggle Within,0.99,1.98
The Thing That Should Not Be,0.99,1.98
The Three Sunrises,0.99,1.98
The Tower,0.99,1.98
The Wake-Up Bomb,0.99,1.98
Trac Trac,0.99,1.98
Trupets Of Jericho,0.99,1.98
Tuesday's Gone,0.99,1.98
Under Pressure,0.99,1.98
Under The Sun/Every Day Comes and Goes,0.99,1.98
Você Fugiu,0.99,1.98
Vulcão Dub - Fui Eu,0.99,1.98
Waiting On A Sign,0.99,1.98
Walking On The Water,0.99,1.98
Wave (Os Cariocas),0.99,1.98
Wet My Bed,0.99,1.98
What Is And What Should Never Be,0.99,1.98
Winterlong,0.99,1.98
Wonderful Tonight,0.99,1.98
Wrote A Song For Everyone,0.99,1.98
Yahweh,0.99,1.98
You Know I'm No Good,0.99,1.98
You Sure Love To Ball,0.99,1.98
[Untitled],0.99,1.98
"Bye, Bye Brasil",0.99,0.99
Carnival Of Sorts,0.99,0.99
Go Back,0.99,0.99
Naked In Front Of The Computer,0.99,0.99
Perplexo,0.99,0.99
Plush,0.99,0.99
Right Next Door to Hell,0.99,0.99
Slowness,0.99,0.99
Someday Never Comes,0.99,0.99
Valentino's,0.99,0.99
